index;country;jumlah_tahun;sdg_index_score;no_poverty_score;zero_hunger_score;good_health_and_wellbeing_score;quality_education_score;gender_equality_score;clean_water_and_sanitation_score;affordable_and_clean_energy_score;decent_work_and_economic_growth_score;industry_innovation_and_infrastructure_score;reduces_inequalities_score;sustainable_cities_and_communities_score;responsible_consumption_and_production_score;climate_action_score;life_below_water_score;life_on_land_score;peace_justice_and_strong_institutions_score;partnership_for_the_goals_score;Cluster
111;Nigeria;23;50,33043478;41,35217391;58,93913043;28,15652174;35,46086957;38,77826087;52,79130435;20,93913043;63,94347826;21,72173913;63,37391304;30,24782609;95,84347826;96,7826087;59,77391304;74,63043478;37,13043478;35,82173913;3
112;North Macedonia;23;69,2;93,92608696;61,6;73,90869565;68,96086957;48,98695652;71,4826087;68,18695652;63,12173913;35,50869565;58,06521739;72,55217391;80,72608696;89,06521739;0;80,73913043;73,37826087;67,4;4
113;Norway;23;80,65652174;99,26086957;62,7826087;94,4173913;98,51304348;86,36086957;83,7;98,54782609;85,66086957;85,93043478;97,45217391;89,45217391;39,43913043;18,47391304;74,85217391;72,33478261;91,14347826;92,66956522;2
114;Oman;23;62,74347826;0;58,64782609;76,83478261;79,77826087;27,53478261;49,20869565;64,81304348;80,06521739;39,23913043;0;82,3;69,3826087;34,00869565;76,96956522;63,75217391;75,13478261;62,2173913;5
115;Pakistan;23;55,10869565;69,19565217;38,16086957;37,34347826;54,52173913;24,56521739;45,15652174;46,81304348;59,6826087;18,33043478;89,24782609;43,69130435;94,3;97,10434783;61,13478261;68,57826087;45,00869565;44,05217391;3
116;Panama;23;63,63913043;90,59130435;45,3173913;77,7173913;76,43043478;60,4;68,15652174;69,87391304;68,76956522;32,69130435;15,15217391;88,86086957;77,01304348;76,79130435;59,72173913;67,11304348;60,93913043;46,27826087;1
117;Papua New Guinea;23;53,18695652;26,64347826;39,33478261;40,36086957;57,04782609;42,72173913;41,05652174;30,15217391;77,06956522;5,486956522;43,7;76,97826087;96,45217391;94,66521739;70,20434783;66,03913043;55,23913043;40,97826087;3
118;Paraguay;23;64,46521739;86,29565217;71,36521739;70,57826087;77,29565217;61,49565217;71,32173913;81,54782609;69,96086957;25,99565217;19,59130435;73,93043478;80,73913043;93,68695652;0;50,36086957;46,80434783;50,40434783;0
119;Peru;23;66,86956522;79,6;65,95217391;75,47391304;94,06521739;62,37391304;74,67391304;65,35217391;70,24347826;32,37391304;27,1826087;67,29565217;88,7;94,1173913;74,34347826;54,13043478;55,26956522;55,6;1
120;Philippines;23;62,63478261;69,37826087;64,60869565;55,63043478;81,13478261;59,24347826;66,73478261;55,09130435;64,76956522;30,52608696;27,95652174;70,24782609;92,33043478;96,20434783;72,18695652;52,95652174;53,33478261;52,57391304;1
121;Poland;23;77,21304348;98,7173913;66,70869565;81,57391304;94,86956522;67,47391304;81,49130435;69,51304348;80,7;56,57826087;85,01304348;84,19130435;75,04347826;76,26086957;67,20434783;88,55652174;79,65652174;59,19130435;2
122;Portugal;23;75,68695652;99,87391304;62,33043478;87,52608696;97,80869565;74,5826087;78,9;81,1173913;79,07826087;57,7826087;72,06956522;88,74347826;66,35217391;82,35217391;45,96086957;70,95217391;78,92173913;62,41304348;2
123;Qatar;23;59,65652174;0;67,10434783;80,3;89,01304348;51,47826087;53,0173913;62,27391304;70,1;52,49565217;0;55,72173913;54,3826087;0;75,5173913;65,65217391;82,76956522;33,60434783;5
124;Republic of the Congo;23;49,1;25,91304348;52,42173913;33,26956522;36,58695652;48,52173913;48,7;23,26956522;51,93478261;3,547826087;20,95217391;48,04782609;95,53913043;91,69130435;69,3826087;78,93913043;51,90869565;54,12173913;3
125;Romania;23;72,94347826;96,8826087;66,47391304;76,57391304;89,8;54,23478261;74,72608696;72,9173913;80,02173913;41,40869565;69,64782609;84,7173913;80,36086957;88,07826087;75,19130435;71,87826087;72,67826087;44,61304348;1
126;Russian Federation;23;69,72608696;98,6173913;57,99565217;70,52173913;90,71304348;65,7173913;74,3173913;66,17826087;76,05652174;56,0826087;66,16086957;80,69130435;80,96086957;69,63043478;53,34782609;65,4;45,03043478;67,93478261;2
127;Rwanda;23;52,76521739;15,87826087;58,39130435;45,77391304;43,8173913;62,77826087;54,55217391;19,49565217;66,0826087;17,06956522;24,90869565;51,77826087;95,10434783;99,39130435;0;66,65217391;67,2826087;55,08695652;0
128;Sao Tome and Principe;23;59,48695652;38,48695652;59,20434783;57,6;55,58695652;40,4;46,31304348;32,73043478;49,51304348;19,57826087;75,65217391;66,82608696;96,25217391;98,66086957;75,1826087;69,43913043;77,24347826;52,3826087;3
129;Saudi Arabia;23;60,5826087;100;54,51304348;76,23913043;72,25217391;31,94347826;58,55652174;66,53913043;73,54782609;41,38695652;0;62,30434783;61,23043478;33,76521739;63,60869565;50,7;66,88695652;55,46956522;1
130;Senegal;23;54,56521739;38,65652174;56,52608696;46,52608696;19,60434783;33,7173913;59,00434783;37,4826087;70,16521739;21,26521739;53,53043478;54,82608696;94,93478261;98,02608696;61,85652174;66,45652174;61,86521739;53,06521739;3
131;Serbia;23;72,70434783;100;70,10869565;77,90434783;94,24782609;53,75217391;73,67391304;67,95217391;73,37391304;43,90869565;58,71304348;75,06086957;84,6173913;85,50434783;0;58,33478261;67,60434783;79,02608696;4
132;Sierra Leone;23;49,80869565;25,78695652;51,00434783;26,18695652;35,71304348;39,2;44,80869565;15,44347826;64,36956522;10,55652174;63,0173913;40,25652174;97,78695652;99,3;73,60434783;61,1;54,54782609;44,10434783;3
133;Singapore;23;68,73043478;0;76,3173913;91,67391304;99,64347826;65,44782609;71,46086957;70,14782609;75,12173913;85,5826087;0;95,62608696;43,97391304;51,71304348;46,57391304;35,6;84,33478261;37,34347826;5
134;Slovak Republic;23;76,34782609;99,01304348;71,35652174;83,76086957;81,33913043;67,63913043;81,67391304;73,2826087;75,88695652;53,89130435;99,33043478;82,00869565;67,23478261;69,7826087;0;85,62608696;76,24347826;54,2173913;4
135;Slovenia;23;78,08695652;99,3;65,19130435;88,66521739;95,72173913;70,90869565;87,8;78,96086957;83,60869565;61,36956522;100;82,7826087;54,33478261;67,14782609;67,33478261;79,07826087;83,41304348;61,86956522;2
136;Somalia;23;45,07826087;11,46521739;25,68695652;13,6;55,6;17,7826087;43,56086957;36,78695652;56,44347826;4,295652174;73,8;58,06086957;92,87391304;99,9;50,98695652;55,56956522;35,3;34,25652174;3
137;South Africa;23;61,05217391;53,36956522;54,76086957;43,54347826;77,3173913;76,94782609;61,93043478;55,42608696;66,83913043;55,4826087;1,586956522;79,94347826;83,66956522;80,29130435;65,7173913;57,43913043;56,26086957;67,4;5
138;South Sudan;23;37,35217391;14,85652174;13,93478261;24,83043478;0,260869565;52,1173913;40,10869565;10,0826087;51,32173913;0,386956522;24,44347826;14,53043478;93,79130435;99,34347826;0;73,82173913;42,22173913;40,50869565;0
139;Spain;23;76,9173913;98,84347826;63,9826087;92,50434783;97,47391304;77,41304348;86,1;75,5173913;77,26956522;75,47391304;79,86956522;90,97391304;63,73478261;77,39130435;52,34347826;64,10869565;78,37391304;56,1173913;2
140;Sri Lanka;23;66,72173913;85,44782609;63,1173913;76,14347826;95,14782609;49,76521739;46,90434783;55,83478261;77,53043478;28,16521739;56,13913043;74,23043478;91,33913043;96,19130435;70,79565217;56,04782609;60,44347826;50,79130435;1
141;Sudan;23;46,13913043;42,5173913;20,2826087;44,59130435;27,66956522;30,95652174;28,29130435;42,94782609;44,65652174;7,730434783;73,11304348;38,84782609;97,3;99,13478261;55,28695652;49,36086957;45,57826087;36,03043478;3
142;Suriname;23;66,23478261;0;59,82173913;67,57391304;67,00434783;62,11304348;68,02608696;70,53478261;55,29565217;22,83478261;0;82,66956522;81,99130435;90,02173913;69,06086957;78,30434783;62,36086957;56,82173913;5
143;Sweden;23;85,05652174;98,68695652;65,7173913;94,4826087;97,52608696;90,39130435;94,9826087;94,09565217;86,36521739;94,33043478;97,3;89,16521739;54,52608696;64,96521739;70,8173913;79,37391304;88,29565217;84,77826087;2
144;Switzerland;23;78,92608696;99,46521739;70,18695652;94,61304348;98,06521739;75,8826087;90,5;81,32608696;81,34782609;87,16956522;85,41304348;97,66956522;47,26086957;58,08695652;0;65,75217391;82,03478261;48,66086957;4
145;Syrian Arab Republic;23;57,60869565;0;36,0826087;61,8173913;58,93478261;33,75217391;62,72608696;64,7;70,34347826;18,71304348;63;56,72173913;90,53913043;92,55652174;51,07826087;56,42173913;54,55217391;48,55217391;3
146;Tajikistan;23;64,9;57,45217391;58,09565217;59,72173913;70,93043478;50,96521739;54,82173913;87,90434783;70,80434783;12,31304348;80,97391304;66,03913043;94,15652174;97,66956522;0;60,47826087;70,3173913;45,8826087;0
147;Tanzania;23;53,45217391;22,47391304;57,82173913;35,93913043;40,03043478;64,09565217;44,93913043;29,46086957;65,03043478;17,60434783;58,06956522;51,41304348;95,27391304;99,09130435;72,7;59,97826087;47,17826087;47,52173913;3
148;Thailand;23;70,42173913;97,01304348;59,87391304;73,97826087;92,74347826;68,28695652;74,5826087;65,72173913;76,2;39,2173913;57,13478261;82,03913043;80,15217391;82,97826087;63,08695652;61,89565217;61,87826087;60,37826087;1
149;Togo;23;51,74782609;19,13478261;58,70434783;35,05652174;67,60869565;33,29565217;46,54782609;15,85217391;68,5826087;14,22608696;38,73478261;42,87826087;96,43478261;98,74782609;70,48695652;81,73478261;44,35652174;47,39130435;3
150;Trinidad and Tobago;23;62,70869565;98,32608696;55,13043478;74,53478261;85,33043478;63,32173913;69,19565217;52,86521739;71,19565217;30,83913043;0;79,43478261;62,7173913;41,10434783;52,93913043;54,40434783;59,73478261;53,52173913;1
151;Tunisia;23;69,16956522;95,26086957;61,20434783;75,22173913;85,83478261;45,74347826;63,34347826;68,3173913;63,27826087;38,66086957;67,40869565;73,06086957;86,23043478;92,65652174;60,13913043;64,29565217;65,6826087;69,6173913;1
152;Turkmenistan;23;66,45652174;98,87826087;56,37391304;65,76521739;99,6;73,69565217;54,69565217;57,98695652;65,49565217;12,76521739;0;83,56086957;82,62608696;65,54782609;0;63,91304348;72,77826087;42,54347826;0
153;Türkiye;23;68,65217391;96,44347826;65,63913043;78,16086957;80,01304348;37,79565217;73,56086957;71,66521739;69,03913043;55,89565217;49,6173913;73,1826087;82,46086957;86,33478261;57,66086957;54,03913043;62,46086957;72,94782609;1
154;Uganda;23;50,44347826;22,85652174;63,09565217;34,42173913;40,48695652;57,56086957;43,53478261;31,43478261;65,47826087;17,76086957;37,37391304;40,58695652;96,30869565;99,39565217;0;65,99565217;44,43478261;45,84782609;0
155;Ukraine;23;71,60434783;0;61,45217391;68,87391304;92,34782609;64,04347826;75,42608696;67,15652174;74,27391304;23,35652174;97,66956522;81,1826087;85,49565217;81,56086957;61,00869565;78,62173913;59,17826087;73,47826087;3
156;United Arab Emirates;23;63,4826087;99,53913043;63,92173913;80,71304348;88,49130435;51,62608696;57,74347826;67,13043478;63,17391304;55,45652174;87,71304348;83,02173913;48,5826087;9,856521739;68,83478261;52,16956522;70,57826087;30,62608696;2
157;United Kingdom;23;79,15652174;99,60869565;70,07826087;89,80869565;98,7173913;76,05217391;93,95652174;70,99565217;82,76521739;83,70869565;70,8;91,19565217;53,59130435;64,29565217;72,61304348;85,7;82,54347826;59,32608696;2
158;United States;23;73,45217391;98,63478261;68,55652174;87,28695652;93,96521739;72,6;83,34782609;71,77391304;82,67826087;86,72173913;53,4;88,07391304;53,86521739;46,85217391;61,50869565;59,45217391;70,8;69,25652174;2
159;Uruguay;23;73,00434783;97,63043478;64,42608696;81,16086957;90,9173913;68,6826087;74,87391304;90,53913043;76,04347826;42,65652174;38,9826087;91,2;71,40434783;92,39565217;57,59130435;54,53043478;76,2826087;71,78695652;1
160;Uzbekistan;23;65,26086957;30,9826087;63,14782609;70,66086957;72,8;76,90434783;57,22608696;61,45652174;70,96086957;22,93478261;71,57391304;86,54782609;93,67391304;92,14782609;0;64,60434783;53,73043478;54,96521739;0
161;Venezuela;23;63,74782609;65,76086957;56,12173913;66,22173913;79,38695652;64,13478261;76,45652174;73,17391304;72,47826087;28,79565217;26,62173913;66,62608696;81,96521739;78,86086957;75,56521739;81,47391304;32,47826087;57,50434783;1
162;Vietnam;23;67,95217391;87,43043478;66,39130435;65,95217391;90,90434783;69,97391304;68,23043478;61,14782609;73,9826087;36,07391304;68,28695652;69,88695652;90,50434783;95,13478261;51,1826087;45,14347826;59,17826087;55,93913043;1
163;Yemen;23;47,92608696;30,62173913;29,93478261;43,47391304;37,85652174;8,817391304;32,19565217;36,86521739;53,62608696;12,52173913;70,43913043;49,89565217;94,55217391;97,57391304;69,82173913;47,24347826;42,6;56,63478261;3
164;Zambia;23;50;8,313043478;56,56956522;31,59565217;56,34782609;55,64782609;49,39565217;42,13478261;59,90434783;10,30869565;15,74782609;58,70434783;95,04782609;98,17391304;0;70,18695652;42,20434783;49,36521739;0
165;Zimbabwe;23;53,97826087;29,76956522;44,43043478;29,51304348;60,93478261;68,14347826;53,91304348;39,04347826;61,36521739;19,10869565;34,33913043;69,12173913;94,11304348;95,9826087;0;75,2;44,13043478;44,13913043;0
