index;country;jumlah_tahun;sdg_index_score;no_poverty_score;zero_hunger_score;good_health_and_wellbeing_score;quality_education_score;gender_equality_score;clean_water_and_sanitation_score;affordable_and_clean_energy_score;decent_work_and_economic_growth_score;industry_innovation_and_infrastructure_score;reduces_inequalities_score;sustainable_cities_and_communities_score;responsible_consumption_and_production_score;climate_action_score;life_below_water_score;life_on_land_score;peace_justice_and_strong_institutions_score;partnership_for_the_goals_score;Cluster
18;Bolivia;23;64,19565217;83,24347826;59,94347826;62,00869565;85,97826087;58,52608696;63,74347826;58,5826087;71,89130435;19,86086957;20,6173913;70,42173913;92,16086957;94,16086957;0;69,23478261;50,19130435;66,54347826;0
19;Bosnia and Herzegovina;23;69,87826087;99,65217391;61,43913043;74,04347826;46,70434783;36,19565217;73,35652174;65,10869565;69,4;32,45652174;81,70869565;77,23478261;79,5173913;87,23478261;81,37826087;74,33913043;69,73043478;78,33478261;1
20;Botswana;23;57,67391304;57,89130435;44,37391304;43,42608696;64,40434783;66,28695652;62,62173913;32,83478261;63,89565217;32,35652174;5,67826087;69,85652174;84,35217391;86,86521739;0;74,15217391;64,26956522;69,52173913;0
21;Brazil;23;70,73913043;85,12608696;70,22608696;76,56956522;82,95217391;65,90869565;83,52608696;87,91304348;75,53913043;53,54782609;12,75652174;78,06956522;84,32608696;93,08695652;61,48695652;62,70434783;56,88695652;71,92173913;1
22;Brunei Darussalam;23;62,90434783;0;52,84782609;82,15217391;97,96956522;57,10434783;59,12173913;65,81304348;69,12608696;55,34782609;0;99,79565217;48,24782609;9,147826087;49,60869565;67,75652174;66,24347826;62,2173913;5
23;Bulgaria;23;72,93043478;100;64,94782609;75,06956522;89,24782609;66,86086957;65,56956522;67,65217391;77,0173913;45,46521739;65,57826087;77,08695652;77,04782609;84,73913043;63,45652174;84,81304348;67,74782609;67,63478261;1
24;Burkina Faso;23;48,33043478;22,13913043;57,50869565;36,60869565;10,10434783;32,77391304;45,63043478;17,13043478;69,67826087;10,89130435;43,47391304;48,26521739;95,59130435;99,03043478;0;86,15217391;51,7;46,13478261;0
25;Burundi;23;50,07391304;0;57,75652174;36,32173913;33,13043478;52,23043478;53,53478261;17,20434783;54,35652174;10,05217391;69,36521739;47,70434783;96,52608696;99,76956522;0;72,77391304;50,15217391;49,80869565;0
26;Cabo Verde;23;63,96521739;75,36521739;44,46956522;70,37826087;79,11304348;62,01304348;60,50434783;55,05652174;61,1173913;25,54782609;26,73043478;76,70869565;81,97391304;97,59130435;53,03478261;70,66956522;81,88695652;65,2826087;1
27;Cambodia;23;55,33478261;0;60,02608696;49,75217391;51,37391304;46,69130435;54,45652174;36,19130435;59,26956522;18,46086957;0;61,65652174;94,08695652;97,09130435;62,06956522;41,43913043;51,45652174;44,93043478;5
28;Cameroon;23;51,62608696;41,12608696;56,49130435;30,5173913;42,96521739;44,94782609;54,02608696;42,09565217;63,69565217;15,69565217;33,96521739;40,28695652;96,28695652;98,29565217;71,83913043;63,41304348;37,72173913;44,42173913;3
29;Canada;23;76,15217391;99,5173913;64,41304348;92,10869565;97,29130435;79,25652174;86,21304348;80,36086957;83,43478261;82,07391304;83,74782609;89,72173913;50,3;29,35652174;60,0826087;59,52608696;86,06956522;71,26521739;2
30;Central African Republic;23;38,63478261;3,843478261;35,94782609;10,30434783;10,70434783;29,99130435;43,61304348;18,00434783;53,1;6,865217391;9,6;26,75217391;94,6;99,54782609;0;89,86956522;48,90869565;35,37826087;0
31;Chad;23;40,22608696;25,44347826;34,19130435;20,93478261;6,317391304;21,89565217;41,07826087;4,27826087;63;5,304347826;50,34347826;26,40434783;91,84782609;98,69565217;0;77,86086957;31,06086957;44,00434783;0
32;Chile;23;74,36086957;96,5826087;70,95652174;84,72608696;93,58695652;62,6826087;89,32173913;82,22608696;77,60869565;45,17826087;22,11304348;84,76956522;79,09565217;82,89565217;79,39565217;60,63478261;76,62173913;75,91304348;1
33;China;23;66,39565217;76,00869565;79,97826087;74,42608696;98,88695652;74,58695652;63,82173913;58,03478261;75,54347826;58,07826087;31,57391304;67,8826087;87,95217391;83,32173913;56,77391304;50,06956522;55,44347826;36,44347826;1
34;Colombia;23;66,8;77,36956522;64,49130435;78,23913043;86,43043478;65,38695652;76,65652174;74,77826087;66,67826087;27,59130435;13,1826087;84,75652174;87,69130435;90,19565217;60,57826087;59,26521739;55,06086957;67,13913043;1
35;Comoros;23;48,82608696;45,4173913;40,15217391;47,76956522;37,15652174;28,10434783;50;28,96956522;46,23913043;11,77391304;16,10434783;55,00869565;95,87391304;99,33913043;51,73913043;52,74347826;62,34782609;61,3173913;3
36;Costa Rica;23;70,66956522;94,23913043;55,61304348;84,86521739;84,72608696;74,4826087;73,5173913;84,05652174;74,86086957;40,1173913;19,76956522;89,8;77,46521739;90,8826087;56,1;65,72173913;75,4826087;59,5826087;1
37;Croatia;23;76,73478261;100;71,74347826;83,8173913;94,8;59,36086957;86,32608696;80,93043478;80,3173913;54,97826087;85,83478261;82,9173913;73,47826087;83,80869565;73,46521739;72,83478261;69,82173913;50,17826087;2
38;Cuba;23;74,70869565;0;62,0826087;82,64347826;94,80434783;77,98695652;72,67391304;74,53043478;92,45217391;29,64347826;0;64,3826087;87,97826087;90,61304348;73,81304348;65,53913043;60,68695652;92,31304348;5
39;Cyprus;23;69,63478261;99,95652174;53,76956522;88,7173913;96,76086957;61,85217391;68,20869565;70,87826087;73,39130435;54,39130435;83,13043478;80,10869565;46,96086957;66,13043478;50,57391304;71,14782609;79,93043478;37,96956522;2
40;Czechia;23;78,09565217;99,61304348;61,34782609;86,86956522;93,37391304;69,16086957;83,16086957;73,06956522;83,21304348;62,15652174;99,67391304;88,66086957;59,2173913;68,46956522;0;88,17391304;79,8;54,26086957;4
41;Côte d'Ivoire;23;54,10434783;42,66086957;59,54347826;32,34347826;21,76086957;40,6826087;53,84347826;41,66086957;71,86521739;18,03913043;47,86086957;47,02608696;95,25652174;97,97391304;78,39130435;73,64347826;55,17826087;42,04347826;3
42;Democratic Republic of the Congo;23;46,00869565;2,139130435;49,70434783;28,84782609;30,62173913;36,09565217;42,68695652;32,42173913;58,8173913;9,065217391;42,73913043;35,91304348;97,73043478;99,57826087;77,63913043;68,33043478;36,9826087;32,8826087;3
